Name, Address, Failed inspection on, Alive for x years
LAGNIAPPE-A CREOLE CAJUN JOYNT,55 W RIVERWALK SOUTH ,2010-01-05T00:00:00.000,2
POLK STREET CO.,548 W POLK ST ,2010-01-06T00:00:00.000,8
THE GRILLROOM,33 W MONROE ST ,2010-01-12T00:00:00.000,10
INTERCULTURAL MONTESSORI LANGUAGE SCHOOL,114 S RACINE AVE ,2010-01-12T00:00:00.000,8
ARBY'S ROAST BEEF,195 N DEARBORN ST ,2010-01-14T00:00:00.000,0
ITALIAN VILLAGE RESTAURANT, INC.,71 W MONROE ST ,2010-01-14T00:00:00.000,10
TOMATO HEAD,945 W RANDOLPH ST ,2010-01-15T00:00:00.000,2
CARIBOU COFFE CO. INC.,20 N MICHIGAN AVE ,2010-01-15T00:00:00.000,6
BURRITO BEACH,195 N DEARBORN ST ,2010-01-15T00:00:00.000,10
TOMATO HEAD,945 W RANDOLPH ST ,2010-01-15T00:00:00.000,2
FLO & SANTO,1310 S WABASH AVE ,2010-01-19T00:00:00.000,8
FLO & SANTO,1310 S WABASH AVE ,2010-01-19T00:00:00.000,8
SBARRO RESTAURANT,195 N DEARBORN ST ,2010-01-19T00:00:00.000,0
COUSCOUS RESTARURANT,1445 W TAYLOR ST ,2010-01-19T00:00:00.000,8
FLO & SANTO,1310 S WABASH AVE ,2010-01-19T00:00:00.000,8
QUIZNO'S,1 N DEARBORN ST ,2010-01-25T00:00:00.000,0
NORTHERN TRUST BANK II,801 S CANAL ST ,2010-01-27T00:00:00.000,5
KHYBER PASS,233 E WACKER DR ,2010-01-27T00:00:00.000,5
THE NORTHERN TRUST CHILD DEVELOPMENT CENTER,801 S CANAL ST ,2010-01-27T00:00:00.000,2
CINNABON,151 N MICHIGAN AVE ,2010-01-27T00:00:00.000,-2
MCDONALD'S,36 W RANDOLPH ST ,2010-02-03T00:00:00.000,8
RUBY OF SIAM,170 W WASHINGTON ST ,2010-02-04T00:00:00.000,6
PRIME BAR,155 N WACKER DR ,2010-02-04T00:00:00.000,8
PRIME BAR,155 N WACKER DR ,2010-02-04T00:00:00.000,8
KAMEHACHI  SUSHI CAFE,311 S WACKER DR ,2010-02-05T00:00:00.000,8
CALIFORNIA PIZZA KITCHEN ASAP,30 N LA SALLE ST ,2010-02-08T00:00:00.000,1
PIZZA HUT EXPRESS,225 S CANAL ST ,2010-02-08T00:00:00.000,2
PANOZZO'S ITALIAN SPECIALTIES,1303 S MICHIGAN AVE ,2010-02-08T00:00:00.000,4
NEW ORLEANS KITCHEN,100 W RANDOLPH ST ,2010-02-08T00:00:00.000,8
NOW WE'RE POPPIN' INC.,111 E WACKER DR ,2010-02-10T00:00:00.000,-2
SBARRO,100 W RANDOLPH ST ,2010-02-16T00:00:00.000,10
PAULYS PIZZARIA,719 S STATE ST ,2010-02-16T00:00:00.000,8
DUNKIN DONUTS,6 N WABASH AVE ,2010-02-17T00:00:00.000,10
DUNKIN DONUTS,205 W Randolph ST ,2010-02-17T00:00:00.000,10
DUNKIN DONUTS/BASKIN-ROBBINS,100 W RANDOLPH ST ,2010-02-17T00:00:00.000,0
DUNKIN' DONUTS,100 W RANDOLPH ST ,2010-02-17T00:00:00.000,9
Dunkin Donuts,400 S Financial PL ,2010-02-18T00:00:00.000,10
CAFE TYPHOON,211 N STETSON AVE ,2010-02-19T00:00:00.000,0
ETHEL'S CHOCOLATE LOUNGE,8 W LAKE ST ,2010-02-22T00:00:00.000,-1
DUNKIN DONUTS,203 N LA SALLE ST ,2010-02-22T00:00:00.000,10
AU BON PAIN,125 S WACKER DR ,2010-02-22T00:00:00.000,8
LA COCINA RESTAURANT & BAR,406 S CLARK ST ,2010-02-23T00:00:00.000,8
LA COCINA RESTAURANT & BAR,406 S CLARK ST ,2010-02-23T00:00:00.000,8
WALGREENS #04349,201 W MADISON ST ,2010-02-23T00:00:00.000,8
DUNKIN DONUTS,105 W MADISON ST ,2010-02-23T00:00:00.000,10
FLO & SANTO,1310 S WABASH AVE ,2010-03-09T00:00:00.000,8
FLO & SANTO,1310 S WABASH AVE ,2010-03-09T00:00:00.000,8
FLO & SANTO,1310 S WABASH AVE ,2010-03-09T00:00:00.000,8
HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST ,2010-03-10T00:00:00.000,2
POPEYES CHICKEN,17 S WABASH AVE ,2010-03-10T00:00:00.000,8
Hard Rock Hotel,224-230 N MICHIGAN AVE ,2010-03-11T00:00:00.000,4
SUBWAY,17 S WABASH AVE ,2010-03-11T00:00:00.000,10
SUBWAY #23340,17 S WABASH AVE ,2010-03-11T00:00:00.000,0
MAX'S TAKE OUT,20 E ADAMS ST ,2010-03-16T00:00:00.000,10
SUBWAY,604 S Wabash AVE ,2010-03-17T00:00:00.000,10
RONNY'S ORIGINAL STEAK HOUSE,100 W RANDOLPH ST ,2010-03-18T00:00:00.000,8
MRS. FIELDS COOKIES,225 S CANAL ST ,2010-03-18T00:00:00.000,5
MONTESSORI ACADEMY OF CHICAGO I, LLC,1335 W RANDOLPH ST ,2010-03-24T00:00:00.000,8
MONTESSORI ACADEMY OF CHICAGO I, LLC,1335 W RANDOLPH ST ,2010-03-24T00:00:00.000,8
